doc_id,file_name,source_url,type,notes
39,"39_nasa_fy21_economic_impact_report_brochure.pdf","https://www.nasa.gov/wp-content/uploads/2022/10/nasa_fy21_economic_impact_report_brochure.pdf",pdf,"NASA public PDF"
40,"40_19930013813.pdf","https://ntrs.nasa.gov/api/citations/19930013813/downloads/19930013813.pdf",pdf,"NASA public PDF"
41,"41_nasa-fy-2020-annual-performance-report.pdf","https://www.nasa.gov/wp-content/uploads/2023/04/nasa-fy-2020-annual-performance-report.pdf",pdf,"NASA public PDF"
42,"42_MC-2018.pdf","https://oig.nasa.gov/docs/MC-2018.pdf",pdf,"NASA public PDF"
43,"43_ASRS_NAS_TRB_10.20.2021b.pdf","https://ntrs.nasa.gov/api/citations/20210023200/downloads/ASRS_NAS_TRB_10.20.2021b.pdf",pdf,"NASA public PDF"
44,"44_mc-2023.pdf","https://oig.nasa.gov/wp-content/uploads/2024/01/mc-2023.pdf",pdf,"NASA public PDF"
45,"45_MC-2019.pdf","https://oig.nasa.gov/docs/MC-2019.pdf",pdf,"NASA public PDF"
46,"46_fy-2021-and-2022-presidents-report.pdf","https://www.nasa.gov/wp-content/uploads/2023/05/fy-2021-and-2022-presidents-report.pdf",pdf,"NASA public PDF"
47,"47_ASRS_ProgramBriefing.pdf","https://asrs.arc.nasa.gov/docs/ASRS_ProgramBriefing.pdf",pdf,"NASA public PDF"
48,"48_asap-2024-annual-report-web.pdf","https://www.nasa.gov/wp-content/uploads/2025/02/asap-2024-annual-report-web.pdf?emrc=67ff2f542f68d",pdf,"NASA public PDF"
49,"49_upsets.pdf","https://asrs.arc.nasa.gov/docs/rpsts/upsets.pdf",pdf,"NASA public PDF"
50,"50_63_ASRS_GA_WeatherEncounters.pdf","https://asrs.arc.nasa.gov/docs/rs/63_ASRS_GA_WeatherEncounters.pdf",pdf,"NASA public PDF"
51,"51_aeronautics-and-space-report-of-the-president-fy-2024.pdf","https://www.nasa.gov/wp-content/uploads/2025/09/aeronautics-and-space-report-of-the-president-fy-2024.pdf",pdf,"NASA public PDF"
52,"52_nasa-report-with-redactions-021926.pdf","https://www.nasa.gov/wp-content/uploads/2026/02/nasa-report-with-redactions-021926.pdf",pdf,"NASA public PDF"
53,"53_2025-report-on-nasas-top-management-and-performance-challenges.pdf","https://oig.nasa.gov/wp-content/uploads/2026/01/2025-report-on-nasas-top-management-and-performance-challenges.pdf?emrc=696902f22ece0",pdf,"NASA public PDF"
54,"54_kennedy-space-center-annual-report-fy24-508.pdf","https://www.nasa.gov/wp-content/uploads/2024/11/kennedy-space-center-annual-report-fy24-508.pdf",pdf,"NASA public PDF"
55,"55_nasa-fy23-economicimpactreport-brochure-508-fm-tagged.pdf","https://www.nasa.gov/wp-content/uploads/2025/04/nasa-fy23-economicimpactreport-brochure-508-fm-tagged.pdf?emrc=04dfc7",pdf,"NASA public PDF"
56,"56_otps-annual-report-a-year-in-review-2024-v7-tagged.pdf","https://www.nasa.gov/wp-content/uploads/2024/12/otps-annual-report-a-year-in-review-2024-v7-tagged.pdf?emrc=69aceb64a6887",pdf,"NASA public PDF"
57,"57_89L.PDF","https://tda.jpl.nasa.gov/progress_report/42-89/89L.PDF",pdf,"NASA public PDF"
58,"58_somd-fact-sheet-2.pdf","https://www.nasa.gov/wp-content/uploads/2023/09/somd-fact-sheet-2.pdf",pdf,"NASA public PDF"
59,"59_mission-support-fy24-infrastructure-fact-sheet.pdf","https://www.nasa.gov/wp-content/uploads/2023/09/mission-support-fy24-infrastructure-fact-sheet.pdf",pdf,"NASA public PDF"
60,"60_journey-to-mars-next-steps-20151008_508.pdf","https://www.nasa.gov/wp-content/uploads/2017/11/journey-to-mars-next-steps-20151008_508.pdf",pdf,"NASA public PDF"
